method,dataset,seed,comparison,layer,prefix_depth,mean_abs_diff,max_abs_diff,mse,binary_flip_ratio,soft_inactive_ratio,hard_inactive_ratio
hard_st_cage,majority9,1,full_soft_vs_discrete,3,4,0.4941926896572113,0.5518038272857666,0.24469387531280518,0.39862060546875,0.0234375,0.4375
block_relaxed,majority9,1,full_soft_vs_discrete,0,1,0.40504899621009827,0.6093852519989014,0.17286397516727448,0.15985107421875,0.0,0.15625
block_relaxed,majority9,1,full_soft_vs_discrete,1,2,0.46916913986206055,0.6789116859436035,0.22337742149829865,0.2900390625,0.0,0.25
block_relaxed,majority9,1,full_soft_vs_discrete,2,3,0.46923184394836426,0.6836018562316895,0.2254517376422882,0.36151123046875,0.0,0.34375
block_relaxed,majority9,1,full_soft_vs_discrete,3,4,0.480761855840683,0.6830480098724365,0.23428969085216522,0.3707275390625,0.0,0.3671875
block_hard_refit,majority9,1,full_soft_vs_discrete,0,1,0.39216378331184387,0.49964839220046997,0.1599787175655365,0.0,0.0,0.1640625
block_hard_refit,majority9,1,full_soft_vs_discrete,1,2,0.4616267681121826,0.6267871856689453,0.2158302217721939,0.233642578125,0.0,0.2734375
block_hard_refit,majority9,1,full_soft_vs_discrete,2,3,0.4596428871154785,0.6617048978805542,0.21580974757671356,0.28411865234375,0.0,0.421875
block_hard_refit,majority9,1,full_soft_vs_discrete,3,4,0.47729891538619995,0.6112165451049805,0.23104500770568848,0.352783203125,0.0,0.4453125
block_hard_refit,majority9,1,path_soft_vs_discrete,0,1,0.0,0.0,0.0,0.0,0.1640625,0.1640625
block_hard_refit,majority9,1,path_soft_vs_discrete,1,2,0.0,0.0,0.0,0.0,0.2734375,0.2734375
block_hard_refit,majority9,1,path_soft_vs_discrete,2,3,0.0,0.0,0.0,0.0,0.421875,0.421875
block_hard_refit,majority9,1,path_soft_vs_discrete,3,4,0.4063769578933716,0.49970123171806335,0.16997036337852478,0.0,0.171875,0.4453125
block_hard_task_refit,majority9,1,full_soft_vs_discrete,0,1,0.4228065013885498,0.7717629671096802,0.190621480345726,0.15057373046875,0.0,0.1875
block_hard_task_refit,majority9,1,full_soft_vs_discrete,1,2,0.4759979248046875,0.7109434604644775,0.23033910989761353,0.3355712890625,0.0,0.3359375
block_hard_task_refit,majority9,1,full_soft_vs_discrete,2,3,0.4704740345478058,0.7583307027816772,0.2263464331626892,0.31463623046875,0.0,0.5
